Trade Start Date,Trade End Date,Day,Stock,Trade Type,Trade Price,Exit Price,Profit/Loss,Fees,Balance
2023-02-10,2023-02-17,1,BB,Long Stop Loss,4.21999979019165,4.177799792289734,-10.000000000000059,5.0,9985.0
2023-02-14,2023-02-22,3,BB,Long Profit,4.179999828338623,4.347199821472168,39.94000000000008,4.9925,10019.9475
2023-02-17,2023-02-27,6,BB,Long Stop Loss,4.260000228881836,4.217400226593018,-10.019947499999969,5.00997375,10004.91757875
2023-02-27,2023-03-06,11,BB,Long Profit,3.799999952316284,3.951999950408936,40.01967031500007,5.002458789375001,10039.934790275625
2023-03-01,2023-03-08,13,BB,Long Profit,3.880000114440918,4.035200119018555,40.1597391611025,5.0199673951378125,10075.07456204159
2023-03-08,2023-03-15,18,BB,Long Profit,3.5,3.64,40.30029824816639,5.0375372810207955,10110.337323008735
2023-03-10,2023-03-17,20,BB,Long Stop Loss,3.6600000858306885,3.6234000849723818,-10.110337323008691,5.055168661504367,10095.171817024222
2023-03-17,2023-03-24,25,PEP,Short Stop Loss,166.0294952392578,164.36920028686524,-10.095171817024209,5.0475859085121115,10080.029059298686
2023-04-21,2023-04-28,49,PEP,Long Profit,172.49656677246094,179.39642944335938,40.32011623719478,5.040014529649343,10115.309161006231
2023-04-25,2023-05-02,51,BB,Long Stop Loss,4.079999923706055,4.039199924468994,-10.11530916100632,5.057654580503116,10100.136197264721
2023-04-27,2023-05-04,53,BB,Long Profit,3.9700000286102295,4.128800029754639,40.40054478905891,5.0500680986323605,10135.486673955147
2023-05-02,2023-05-09,56,PEP,Short Stop Loss,180.17625427246094,178.37449172973632,-10.13548667395519,5.067743336977574,10120.283443944214
2023-05-04,2023-05-11,58,PEP,Short Stop Loss,180.64625549316406,178.83979293823242,-10.12028344394422,5.060141721972108,10105.103018778298
2023-05-16,2023-05-23,66,PEP,Short Profit,182.61082458496094,189.91525756835938,40.42041207511322,5.05255150938915,10140.470879344022
2023-05-18,2023-05-25,68,BB,Long Stop Loss,5.380000114440918,5.326200113296509,-10.140470879343964,5.070235439672011,10125.260173025006
2023-05-30,2023-06-06,75,PEP,Short Stop Loss,172.5623779296875,170.83675415039062,-10.125260173025048,5.062630086512503,10110.072282765468
2023-06-06,2023-06-13,80,BB,Long Stop Loss,5.210000038146973,5.157900037765503,-10.110072282765392,5.055036141382734,10094.90717434132
2023-06-09,2023-06-16,83,BB,Long Stop Loss,5.179999828338623,5.1281998300552365,-10.094907174341383,5.0474535871706605,10079.764813579808
2023-06-13,2023-06-21,85,BB,Long Stop Loss,5.230000019073486,5.177700018882751,-10.079764813579878,5.039882406789904,10064.645166359438
2023-06-15,2023-06-23,87,BB,Long Stop Loss,5.179999828338623,5.1281998300552365,-10.0646451663595,5.032322583179719,10049.548198609898
