epoch,step,train_loss_epoch,train_loss_step
0,49,,0.4716378152370453
0,55,0.9445448517799377,
1,99,,0.3070720434188843
1,111,0.6632201075553894,
2,149,,0.6329821944236755
2,167,0.6126867532730103,
3,199,,0.27706485986709595
3,223,0.6028656363487244,
4,249,,0.3095329701900482
4,279,0.5935120582580566,
5,299,,0.633185088634491
5,335,0.5802315473556519,
6,349,,0.6560941338539124
6,391,0.5766788721084595,
7,399,,0.4905793070793152
7,447,0.5677948594093323,
8,449,,0.44741249084472656
8,499,,0.5232056379318237
8,503,0.5658101439476013,
9,549,,0.6091631054878235
9,559,0.5529254674911499,
